years,component,docs_url,data_url
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1TOT_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1TOT_G.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1TOT_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1TOT_D.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1TOT_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1TOT_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1TOT_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1TOT.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2TOT_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2TOT_C.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2TOT_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2TOT_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2TOT_G.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2TOT_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2TOT_D.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2TOT_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2TOT_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2TOT_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2TOT.XPT
1999-2000,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXFMT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXFMT.XPT
2001-2002,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXFMT_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXFMT_B.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXFCD_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXFCD_C.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXFCD_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXFCD_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXFCD_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXFCD_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXFCD_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXFCD_G.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXFCD_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXFCD_D.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DRXFCD_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DRXFCD_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DRXFCD_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DRXFCD_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DRXFCD_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DRXFCD_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DRXFCD.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DRXFCD.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXMCD_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DRXMCD_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXMCD_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DRXMCD_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXMCD_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DRXMCD_G.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXMCD_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DRXMCD_D.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXMCD_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DRXMCD_C.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DTQ_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DTQ_F.XPT
1999-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSBI.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSBI.XPT
1999-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSII.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSII.XPT
1999-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSPI.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSPI.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1IDS_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1IDS_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1IDS_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1IDS_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1IDS_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1IDS_G.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1IDS_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1IDS_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1IDS_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1IDS_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1IDS_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1IDS_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1IDS.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1IDS.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2IDS_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2IDS_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2IDS_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2IDS_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2IDS_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2IDS_G.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2IDS_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2IDS_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2IDS_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2IDS_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2IDS_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2IDS_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2IDS.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2IDS.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1TOT_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1TOT_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1TOT_G.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1TOT_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1TOT_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1TOT_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1TOT.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2TOT_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2TOT_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2TOT_G.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2TOT_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2TOT_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2TOT_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2TOT.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQIDS_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQIDS_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQIDS_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQIDS_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQIDS_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQIDS_G.XPT
1999-2000,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE1.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE1.XPT
2001-2002,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ1_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ1_B.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ1_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ1_C.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ1_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ1_D.XPT
1999-2000,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE2.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE2.XPT
2001-2002,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ2_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ2_B.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ2_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ2_C.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ2_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ2_D.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQIDS_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQIDS_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQIDS_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQIDS_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQIDS_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQIDS_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQIDS.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQIDS.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQTOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQTOT_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQTOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQTOT_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQTOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQTOT_G.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQTOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQTOT_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQTOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQTOT_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQTOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQTOT_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQTOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQTOT.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FOODLK_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FOODLK_C.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FOODLK_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FOODLK_D.xpt
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/VARLK_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/VARLK_C.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/VARLK_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/VARLK_D.xpt
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FFQDC_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FFQDC_D.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FFQDC_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FFQDC_C.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FFQRAW_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FFQRAW_D.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FFQRAW_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FFQRAW_C.XPT
2009-2010,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARX_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARX_F.XPT
1999-2000,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUX1.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUX1.XPT
2007-2008,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AUX_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AUX_E.XPT
2005-2006,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AUX_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AUX_D.XPT
2003-2004,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/AUX_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/AUX_C.XPT
2001-2002,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/AUX_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/AUX_B.XPT
2009-2010,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUX_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUX_F.XPT
2011-2012,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/AUX_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/AUX_G.XPT
2015-2016,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/AUX_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/AUX_I.XPT
2017-2018,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/AUX_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/AUX_J.XPT
2017-2020,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_AUX.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_AUX.XPT
2009-2010,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUXAR_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUXAR_F.XPT
2007-2008,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AUXAR_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AUXAR_E.XPT
2005-2006,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AUXAR_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AUXAR_D.XPT
1999-2000,Examination,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXAR.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXAR.XPT
